model,dataset,condition,n_rows,accuracy,median_generation_seconds,mean_generation_seconds,median_tokens_per_second,median_new_tokens,median_peak_memory_gb,total_model_load_seconds,total_wtp_load_seconds,total_materialize_seconds,median_stored_bytes,median_stored_params,ranking_median_seconds_per_query,mean_seconds,n_queries
llama3-8b,gpqa,adaptive_ngc_top1,10,0.5,1.5075778433820233,1.6750727945240214,9.11169014747732,7.0,7.085402488708496,22.521362222963944,4.645455420017242,0.016998929204419255,375868108.0,187901952.0,0.0002552386955358088,0.0002555441398872063,10.0
llama3-8b,gpqa,adaptive_ngc_top5,50,0.44,1.0255013526184484,1.9710194820631295,7.285777677841688,6.0,7.079034328460693,66.35373879410326,10.46373547310941,0.05181518639437854,375868108.0,187901952.0,0.0002524995943531394,0.00025317858648486437,10.0
llama3-8b,gpqa,basis_sharing_top1,10,0.4,0.787672265083529,1.5714422102784738,8.960597206311226,6.5,6.747543811798096,4.412379543064162,0.17207286902703345,0.0030478578992187977,26843602.0,13418496.0,0.00025376798585057263,0.00025473833747673776,10.0
llama3-8b,gpqa,fixed_ngc_top1,10,0.4,1.1085283564170823,2.1290441086748615,6.597614022765962,7.0,7.141520977020264,4.391368570039049,0.22290095197968185,0.003441707929596305,442968630.0,221449216.0,0.00025280020199716093,0.00025347901857458054,10.0
llama3-8b,gpqa,fixed_ngc_top5,50,0.46,1.5805684010265395,3.2059393392549826,3.9941012699527043,6.0,7.178046703338623,36.053173541789874,14.671907504787669,0.03300905739888549,484905825.0,242408448.0,0.0002529218909330666,0.0002537065382348373,10.0
llama3-8b,gpqa,raw_dense,10,0.4,1.1201769618783146,1.8009550997056067,,6.5,6.722379207611084,58.25514793419279,0.0,0.0,0.0,8030261248.0,,,
llama3-8b,gpqa,vanilla_svd_top1,10,0.4,0.8579248924506828,1.5973556630080565,8.97882693658029,7.0,6.757713794708252,4.530995836947113,0.22908171406015754,0.0026248949579894543,37763544.0,18876416.0,0.0002545809955336153,0.0002560688225785271,10.0
qwen3-8b,gpqa,adaptive_ngc_top1,16,0.5625,1.9210368014173582,3.442518320167437,6.046002597031961,12.5,8.090610027313232,40.05411982908845,28.060599505901337,0.042636686004698277,1117372443.0,558655488.0,0.0002438379669911228,0.00024696439526451287,16.0
qwen3-8b,gpqa,adaptive_ngc_top5,80,0.575,2.885793855995871,5.161616959189996,4.577106013231456,13.0,8.150656700134277,110.93471933249384,62.36818049266003,0.1399966690223664,1160136712.0,580037632.0,0.0002499800029909238,0.0002522253373172134,16.0
qwen3-8b,gpqa,basis_sharing_top1,16,0.5625,1.8596156248822808,2.6687866017018678,6.817746165445877,12.5,7.703165054321289,4.556178002152592,1.8178323910105973,0.0029641659930348396,684588814.0,342286336.0,0.00024383984418818727,0.00024837891505740116,16.0
qwen3-8b,gpqa,fixed_ngc_top1,16,0.5625,2.8441649666056037,4.363880555421929,4.45762537508305,13.0,8.137717247009277,4.639099332969636,0.8137778209056705,0.00419825199060142,1147613212.0,573773824.0,0.00024455781385768205,0.00024596207251306626,16.0
qwen3-8b,gpqa,fixed_ngc_top5,80,0.55,2.136098228394985,3.686278791096993,5.627124288694225,13.0,8.131635665893555,30.1246108149644,16.264309694524854,0.029395083896815777,1147600440.0,573767680.0,0.00024359846429433674,0.0002456903990241699,16.0
qwen3-8b,gpqa,raw_dense,16,0.625,0.898532466031611,1.3862610719515942,,12.5,6.992506980895996,11.654748675879091,0.0,0.0,0.0,8190735360.0,,,
qwen3-8b,gpqa,vanilla_svd_top1,16,0.625,1.3518700370332226,2.0961075066006742,8.596252822263208,14.0,7.081874847412109,4.3842054810374975,0.0404272461310029,0.0028925989754498005,90635999.0,45309952.0,0.0002527847173041664,0.00025471777087659575,16.0
