departure_bin,stability_fidelity_bin,n,correctness,departure_center,stability_fidelity_center,reconstruction_score,stability_guard
"(-5.45, -1.899]","(-3.108, -1.397]",151,0.6225165562913907,-2.799338062442919,-1.8958137762437701,0.384554,-4.204427241488355
"(-5.45, -1.899]","(-1.397, -0.749]",40,0.4,-3.181198383069301,-0.9443377734055536,0.474413,-1.4067230593283901
"(-5.45, -1.899]","(-0.749, -0.344]",299,0.5886287625418061,-2.555102378047259,-0.5495367558363244,0.624528,-1.9558927020946597
"(-5.45, -1.899]","(-0.344, -0.0112]",205,0.6341463414634146,-2.4369209075712495,-0.22449950486543502,0.846533,-2.49910945910598
"(-5.45, -1.899]","(-0.0112, 0.205]",54,0.5740740740740741,-3.5088928611369923,0.0788035196783873,0.623732,1.1229697135061243
"(-5.45, -1.899]","(0.205, 0.486]",58,0.6724137931034483,-3.6454854146929767,0.3838803245691903,0.680905,1.6042769838901878
"(-5.45, -1.899]","(0.486, 1.159]",49,0.6122448979591837,-4.0341298985860705,0.5447152322560921,0.680905,2.3716964296951475
"(-5.45, -1.899]","(1.159, 3.521]",251,0.6533864541832669,-2.604185844598506,2.254085920325424,1.30103,3.226126363161887
"(-1.899, -1.05]","(-3.108, -1.397]",180,0.5111111111111111,-1.5772574613951602,-1.9423112246277991,0.372371,-4.256509037223818
"(-1.899, -1.05]","(-1.397, -0.749]",126,0.6984126984126984,-1.351261530246862,-1.195144657132658,0.504942,-2.8362370901569642
"(-1.899, -1.05]","(-0.749, -0.344]",114,0.6403508771929824,-1.5037974091226087,-0.5573191947394202,0.586815,-0.9245096678280975
"(-1.899, -1.05]","(-0.344, -0.0112]",8,0.875,-1.0803456793492952,-0.28117852811065785,0.60454,-0.12162746615123723
"(-1.899, -1.05]","(-0.0112, 0.205]",98,0.6224489795918368,-1.5426443978579862,0.03282613720096881,0.65083,0.6022005640720774
"(-1.899, -1.05]","(0.205, 0.486]",60,0.65,-1.2905775596676814,0.3233201694028144,0.713969,1.4609821805355323
"(-1.899, -1.05]","(0.486, 1.159]",360,0.6361111111111111,-1.2955086771025415,0.7273202359230889,0.863878,1.146084492684006
