pair,model,dataset,condition,n_rows,median_generation_seconds,iqr_generation_seconds,mean_generation_seconds,median_new_tokens,median_peak_memory_gb,total_model_load_seconds,total_wtp_load_seconds,total_materialize_seconds
qwen3-4b/gpqa,qwen3-4b,gpqa,C316_ranking_only,1,5.167047493159771e-06,1.5216646715998649e-07,5.357425194233656e-06,0.0,0.0,0.0,0.0,0.0
qwen3-4b/gpqa,qwen3-4b,gpqa,reconstruction_ranking_only,1,5.129229975864291e-06,1.4264078345149757e-07,5.277003278024494e-06,0.0,0.0,0.0,0.0,0.0
qwen3-4b/gpqa,qwen3-4b,gpqa,raw_generation,20,0.3314709663391113,0.4619646072387695,0.4630819916725158,8.0,7.562452793121338,9.114455258939415,0.0,0.0
qwen3-4b/gpqa,qwen3-4b,gpqa,ngc_top1_generation,20,0.2951494455337524,0.3100302219390869,0.4493555545806885,8.0,7.44323205947876,5.493896860163659,0.4267799409572035,0.0088404011912643
qwen3-4b/gpqa,qwen3-4b,gpqa,ngc_top5_generation,100,0.3347399234771728,0.3715023994445801,0.4714087605476379,8.0,7.287862300872803,12.352310399990529,0.8154686170164496,0.0232171090319752
qwen3-4b/hotpot-qa,qwen3-4b,hotpot-qa,C316_ranking_only,1,4.795100539922714e-06,1.0180228855460882e-07,5.100817768834531e-06,0.0,0.0,0.0,0.0,0.0
qwen3-4b/hotpot-qa,qwen3-4b,hotpot-qa,reconstruction_ranking_only,1,4.853727295994758e-06,6.238115020096302e-08,4.912767559289932e-06,0.0,0.0,0.0,0.0,0.0
qwen3-4b/hotpot-qa,qwen3-4b,hotpot-qa,raw_generation,20,0.2869272232055664,0.1949222087860107,0.3713235735893249,5.5,7.864427089691162,8.834033756051213,0.0,0.0
qwen3-4b/hotpot-qa,qwen3-4b,hotpot-qa,ngc_top1_generation,20,0.2663381099700928,0.1810905933380127,0.3470139741897583,5.5,7.719738006591797,2.150437030941248,0.207460266072303,0.0028445820789784
qwen3-4b/hotpot-qa,qwen3-4b,hotpot-qa,ngc_top5_generation,100,0.3512274026870727,0.6323949694633484,0.5644648575782776,7.5,7.586605072021484,13.109033847926185,0.7910511340014637,0.0264268268365412
qwen3-8b/gpqa,qwen3-8b,gpqa,C316_ranking_only,1,4.9308757297694685e-06,9.553623385727405e-08,5.075731489341706e-06,0.0,0.0,0.0,0.0,0.0
qwen3-8b/gpqa,qwen3-8b,gpqa,reconstruction_ranking_only,1,4.92535182274878e-06,7.306516636162996e-08,4.994793329387903e-06,0.0,0.0,0.0,0.0,0.0
qwen3-8b/gpqa,qwen3-8b,gpqa,raw_generation,20,0.2312071323394775,0.5187985897064209,0.4515193700790405,5.5,15.371917724609377,11.834581778151914,0.0,0.0
qwen3-8b/gpqa,qwen3-8b,gpqa,ngc_top1_generation,20,0.2122378349304199,0.2956812381744385,0.4029823660850525,5.5,15.32012939453125,6.4210100788623095,0.0650668670423328,0.0026900789234787
qwen3-8b/gpqa,qwen3-8b,gpqa,ngc_top5_generation,100,0.2321181297302246,0.2954895496368408,0.450799069404602,6.0,15.079814910888672,32.097182393306866,4.162553084781393,0.0234554919879883
qwen3-8b/hotpot-qa,qwen3-8b,hotpot-qa,C316_ranking_only,1,4.891800926998258e-06,9.41654434427619e-08,5.04748069215566e-06,0.0,0.0,0.0,0.0,0.0
qwen3-8b/hotpot-qa,qwen3-8b,hotpot-qa,reconstruction_ranking_only,1,4.896795144304633e-06,7.32805347070098e-08,4.982406098861248e-06,0.0,0.0,0.0,0.0,0.0
qwen3-8b/hotpot-qa,qwen3-8b,hotpot-qa,raw_generation,20,0.2936170101165771,0.1074320077896118,0.3337639093399048,4.5,15.796789169311523,12.004705725004897,0.0,0.0
qwen3-8b/hotpot-qa,qwen3-8b,hotpot-qa,ngc_top1_generation,20,0.2987884283065796,0.1084559559822082,0.3110047340393066,4.5,15.742437362670898,6.707499661017209,0.0381911750882864,0.0025943168438971
qwen3-8b/hotpot-qa,qwen3-8b,hotpot-qa,ngc_top5_generation,100,0.3218600749969482,0.1306046843528747,0.3586521792411804,5.0,15.50212287902832,28.737807696685195,0.8839537429157645,0.020518084987998
